in:ID [-],in:Type [-],in:Dep [m],in:PWT [%],in:FAR [-],in:Len [m],in:RS [m],in:SS [m],out:GFA [m2],out:LotCov [-],out:PC_1 [%],out:PC_2 [%],out:PC_3 [%],out:PC_4 [%],out:PC_5 [%],img
48,0,30,50,10,60,0,0,92294,0.209,0.1,6.4,24.7,27.4,41.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/48ScreenParallel.webp
49,1,30,50,10,60,0,0,93193,0.234,0.1,6.6,30.6,30.1,32.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/49ScreenParallel.webp
50,2,30,50,10,60,0,0,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/50ScreenParallel.webp
51,0,40,50,10,60,0,0,93926,0.228,0.1,5.6,23.8,25.5,44.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/51ScreenParallel.webp
52,1,40,50,10,60,0,0,93925,0.259,0.1,7.4,30.4,29,33.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/52ScreenParallel.webp
53,2,40,50,10,60,0,0,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/53ScreenParallel.webp
54,0,20,30,10,40,10,0,78613,0.208,0.8,13.7,28.9,33.1,23.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/54ScreenParallel.webp
55,1,20,30,10,40,10,0,79472,0.218,0.3,12.3,28.7,34.3,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/55ScreenParallel.webp
56,2,20,30,10,40,10,0,79221,0.247,0.1,8.5,26.5,36.3,28.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/56ScreenParallel.webp
57,0,30,30,10,40,10,0,79110,0.224,0.2,13,28.9,33.6,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/57ScreenParallel.webp
58,1,30,30,10,40,10,0,78756,0.235,0.1,10.3,28.7,35.8,25.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/58ScreenParallel.webp
59,2,30,30,10,40,10,0,78686,0.248,0.1,8.7,26,36.5,28.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/59ScreenParallel.webp
60,0,40,30,10,40,10,0,79107,0.231,0.6,12.1,29.3,33.7,24.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/60ScreenParallel.webp
61,1,40,30,10,40,10,0,80302,0.244,0.1,8.6,26.9,36.9,27.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/61ScreenParallel.webp
62,2,40,30,10,40,10,0,78686,0.248,0.1,8.7,26,36.5,28.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/62ScreenParallel.webp
63,0,20,40,10,40,10,0,80428,0.201,0.6,16,27.6,31.5,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/63ScreenParallel.webp
64,1,20,40,10,40,10,0,81838,0.218,0.3,13.6,30.6,32.3,23.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/64ScreenParallel.webp
65,2,20,40,10,40,10,0,81591,0.247,0.1,10.1,27.8,35,27,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/65ScreenParallel.webp
66,0,30,40,10,40,10,0,81232,0.217,0.3,14.9,28.8,31.8,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/66ScreenParallel.webp
67,1,30,40,10,40,10,0,81033,0.235,0.1,12,29.9,34.4,23.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/67ScreenParallel.webp
68,2,30,40,10,40,10,0,81056,0.248,0.1,11,26.6,35.8,26.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/68ScreenParallel.webp
69,0,40,40,10,40,10,0,81228,0.224,0.3,15.5,28.3,31.7,24.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/69ScreenParallel.webp
70,1,40,40,10,40,10,0,82579,0.244,0.1,10.8,27.4,36,25.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/70ScreenParallel.webp
71,2,40,40,10,40,10,0,81056,0.248,0.1,11,26.6,35.8,26.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/71ScreenParallel.webp
72,0,20,50,10,40,10,0,80000,0.153,0.1,7.3,19,24.3,49.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/72ScreenParallel.webp
73,1,20,50,10,40,10,0,80454,0.168,0.2,5.6,21.6,24.6,48,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/73ScreenParallel.webp
